OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitu,geoaltitud,lastposupd,lastcontac
91,1590365710,a198e5,41.050647800251589,-86.865088722922565,225.573575005657602,311.579281985825503,-10.403840000000001,EJM16   ,False,False,False,1420,4122.420000000000073,4267.199999999999818,1590365709.910000085830688,1590365709.941999912261963
92,1590365720,a198e5,41.063781738281250,-86.884704589843750,224.506332246890537,311.469993312107306,-10.403840000000001,EJM16   ,False,False,False,1420,4023.360000000000127,4168.140000000000327,1590365719.957999944686890,1590365719.957999944686890
93,1590365730,a198e5,41.077275680283364,-86.904851740056813,218.311632117843345,311.465352599934647,-10.078720000000001,EJM16   ,False,False,False,1420,3916.680000000000291,4061.460000000000036,1590365729.937000036239624,1590365729.984999895095825
94,1590365740,a198e5,41.090077545683258,-86.923952969637810,211.731676437972908,311.552613148134810,-9.428480000000000,EJM16   ,False,False,False,1420,3817.620000000000346,3954.780000000000200,1590365739.746999979019165,1590365739.956000089645386
95,1590365750,a198e5,41.102041470802433,-86.941868175159811,208.100705581242778,311.492388040487128,-9.428480000000000,EJM16   ,False,False,False,3327,3733.800000000000182,3870.960000000000036,1590365749.354000091552734,1590365749.880000114440918
96,1590365760,a198e5,41.114685058593750,-86.960754394531250,206.648383200782774,311.467705416109084,-9.103360000000000,EJM16   ,False,False,False,3327,3634.740000000000236,3764.280000000000200,1590365759.644000053405762,1590365759.729000091552734
97,1590365770,a198e5,41.126953125000000,-86.979064941406250,204.469972813861688,311.430024051290275,-8.453120000000000,EJM16   ,False,False,False,3327,3550.920000000000073,3680.460000000000036,1590365769.756999969482422,1590365769.891000032424927
98,1590365780,a198e5,41.139190156581037,-86.997424038973747,199.001409073891978,311.436731937093839,-8.128000000000000,EJM16   ,False,False,False,3327,3474.720000000000255,3596.640000000000327,1590365779.720999956130981,1590365779.775000095367432
99,1590365790,a198e5,41.150665283203125,-87.014587402343750,193.532848215677319,311.443818905744877,-6.177280000000001,EJM16   ,False,False,False,3327,3398.519999999999982,3520.440000000000055,1590365789.766999959945679,1590365789.858999967575073
100,1590365800,a198e5,41.162063598632812,-87.031677246093750,189.176245271216857,311.361813422135356,-5.852160000000000,EJM16   ,False,False,False,3327,3337.559999999999945,3459.480000000000473,1590365799.821000099182129,1590365799.903000116348267
