OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
115,1590364850,a6d5e0,42.295532226562500,-87.907104492187500,104.020780338475447,149.376417975146097,0.325120000000000,N54DB   ,False,False,False,2403,5760.720000000000255,5981.700000000000728,1590364849.775000095367432,1590364849.901999950408936
116,1590364850,a1d44e,41.768142700195312,-87.773271040482939,66.968675164875819,43.132321160565830,-3.576320000000000,SWA2132 ,False,False,False,1157,297.180000000000007,266.699999999999989,1590364848.973000049591064,1590364849.775000095367432
117,1590364850,abf29f,41.798602605270126,-87.878616687863371,141.587101643453849,261.222182613862799,24.384000000000000,SWA195  ,False,False,False,6555,2240.280000000000200,2301.240000000000236,1590364849.456000089645386,1590364849.773999929428101
118,1590364850,a0a332,42.860229492187500,-87.894201944040674,140.130050752876656,223.066072086617055,14.630400000000002,FDX383  ,False,False,False,4326,2743.200000000000273,2819.400000000000091,1590364849.878999948501587,1590364849.901000022888184
119,1590364850,aa80a7,41.539947509765625,-87.163779518821002,79.164223345779618,242.102728969052350,0.650240000000000,N776PS  ,False,False,False,,815.340000000000032,800.100000000000023,1590364777.987999916076660,1590364807.447999954223633
120,1590364850,4bb145,43.614028930664062,-85.333621002906966,249.285145661397479,228.513750260604951,0.000000000000000,THY6185 ,False,False,False,703,9753.600000000000364,10149.840000000000146,1590364849.792999982833862,1590364849.901000022888184
121,1590364850,a05646,42.054794311523438,-87.859975641424001,116.941845826652354,356.973964916974580,8.453120000000000,UAL931  ,False,False,False,6532,1432.560000000000173,1432.559999999999945,1590364848.973999977111816,1590364849.898999929428101
122,1590364850,acc799,41.781875610351562,-87.753904516046703,,,,SWA1063 ,True,False,False,6560,,,1590364849.746000051498413,1590364849.746000051498413
123,1590364850,a1e05f,41.638000488281250,-87.373955466530560,88.694979570816741,339.988501121894274,0.000000000000000,N22TP   ,False,False,False,4074,1089.660000000000082,1097.279999999999973,1590364849.125999927520752,1590364849.125999927520752
124,1590364850,a26fc9,41.651776847192792,-87.921859386355379,121.827681971611099,53.759169249735422,-5.201920000000000,SWA312  ,False,False,False,2255,1211.580000000000155,1242.059999999999945,1590364849.315000057220459,1590364849.773999929428101
