OBJECTID,time,icao24,lat,lon,velocity,heading,vertrate,callsign,onground,alert,spi,squawk,baroaltitude,geoaltitude,lastposupdate,lastcontact
92,1590365890,89902f,45.211029052734375,-93.506273542131680,243.306451600443097,124.664505885313346,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11635.739999999999782,1590365889.486999988555908,1590365889.684000015258789
93,1590365900,89902f,45.198211669921875,-93.480115618024570,243.176976839223812,124.833141494479818,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11635.739999999999782,1590365899.637000083923340,1590365899.875000000000000
94,1590365910,89902f,45.185510667703916,-93.454262338033516,243.599419452311224,124.764027815625553,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11635.739999999999782,1590365909.798000097274780,1590365909.969000101089478
95,1590365920,89902f,45.173267429157839,-93.429409120140974,243.471187488431497,124.932512745993421,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11635.739999999999782,1590365919.709000110626221,1590365919.959000110626221
96,1590365930,89902f,45.160537719726562,-93.404388427734375,242.106987933639687,126.358559173519012,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11635.739999999999782,1590365929.621999979019165,1590365929.961999893188477
97,1590365940,89902f,45.147151623742054,-93.379501714939011,240.986678012948346,127.628251806316456,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11643.360000000000582,1590365939.891000032424927,1590365939.920000076293945
98,1590365950,89902f,45.133712768554688,-93.355603899274570,240.309231908848830,129.004613195924549,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11643.360000000000582,1590365949.904000043869019,1590365949.938999891281128
99,1590365960,89902f,45.120208740234375,-93.332781110491055,239.105801287012696,130.200163886095311,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11643.360000000000582,1590365959.769000053405762,1590365959.990999937057495
100,1590365970,89902f,45.106371863413663,-93.310435225323886,238.304765290169712,131.674626299418463,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11643.360000000000582,1590365969.585999965667725,1590365969.918999910354614
101,1590365980,89902f,45.091598510742188,-93.287004743303555,238.304765290169712,131.674626299418463,0.000000000000000,EVA056  ,False,False,False,1462,11277.600000000000364,11643.360000000000582,1590365979.874000072479248,1590365979.924000024795532
102,1590365990,89902f,45.077957153320312,-93.265293666294667,238.348073340389078,131.500030860932100,0.000000000000000,EVA056  ,False,False,False,3670,11277.600000000000364,11643.360000000000582,1590365989.993000030517578,1590365989.993000030517578
103,1590366000,89902f,45.063629150390625,-93.242405482700917,238.348073340389078,131.500030860932100,0.000000000000000,EVA056  ,False,False,False,3670,11277.600000000000364,11643.360000000000582,1590365999.625999927520752,1590365999.976999998092651
104,1590366010,89902f,45.049255371093750,-93.219582693917403,238.689265431007897,131.592518559964873,0.000000000000000,EVA056  ,False,False,False,3670,11277.600000000000364,11643.360000000000582,1590366009.630000114440918,1590366009.871000051498413
105,1590366020,89902f,45.034914178363344,-93.196753525152417,238.689265431007897,131.592518559964873,0.000000000000000,EVA056  ,False,False,False,3670,11277.600000000000364,11643.360000000000582,1590366019.834000110626221,1590366019.960999965667725
